w,errormargin,pollutionplus,exceptionalplus,superexceptionalplus,typebeam,pollution1,pollution2,exceptional1,exceptional2,exceptionalexclude,exceptionaloverlap
25,2.0,4,3,4,Jaccard,4,1,9999,9999,7,9999
25,2.0,4,3,12,normal,9999,1,9999,9999,2,9999
25,2.0,4,3,12,Jaccard,22,1,9999,9999,2,9999
25,2.0,4,3,25,normal,9999,11,9999,9999,3,6
25,2.0,4,3,25,Jaccard,9999,8,9999,9999,2,4
25,2.0,4,5,4,normal,11,2,5,22,9999,9999
25,2.0,4,5,4,Jaccard,9,2,4,16,9999,9999
25,2.0,4,5,12,normal,9999,4,16,9999,3,9999
25,2.0,4,5,12,Jaccard,9999,3,11,9999,2,9999
25,2.0,4,5,25,normal,9999,11,9999,9999,2,7
25,2.0,4,5,25,Jaccard,9999,8,9999,9999,1,5
25,2.0,8,1,4,normal,3,2,9999,9999,9999,9999
25,2.0,8,1,4,Jaccard,3,2,9999,9999,9999,9999
25,2.0,8,1,12,normal,6,1,9999,9999,5,9999
25,2.0,8,1,12,Jaccard,5,1,9999,9999,4,9999
25,2.0,8,1,25,normal,9999,4,9999,9999,1,11
25,2.0,8,1,25,Jaccard,22,3,9999,9999,1,8
25,2.0,8,3,4,normal,3,2,9999,14,9999,9999
25,2.0,8,3,4,Jaccard,3,2,9999,10,9999,9999
25,2.0,8,3,12,normal,6,1,9999,9999,5,9999
25,2.0,8,3,12,Jaccard,5,1,9999,9999,4,9999
25,2.0,8,3,25,normal,9999,3,9999,9999,4,12
25,2.0,8,3,25,Jaccard,24,2,9999,9999,3,9
25,2.0,8,5,4,normal,3,2,9999,9999,9999,9999
25,2.0,8,5,4,Jaccard,3,2,9999,9999,9999,9999
25,2.0,8,5,12,normal,8,1,9999,9999,5,9999
25,2.0,8,5,12,Jaccard,6,1,9999,9999,4,9999
25,2.0,8,5,25,normal,9999,2,9999,9999,1,10
25,2.0,8,5,25,Jaccard,22,2,9999,9999,1,7
25,2.0,20,1,4,normal,3,2,9999,9999,9999,9999
25,2.0,20,1,4,Jaccard,3,2,23,9999,9999,9999
25,2.0,20,1,12,normal,3,1,9999,9999,9999,9999
25,2.0,20,1,12,Jaccard,3,1,9999,9999,9999,9999
25,2.0,20,1,25,normal,2,9999,9999,9999,11,9999
25,2.0,20,1,25,Jaccard,2,9999,9999,9999,9,9999
25,2.0,20,3,4,normal,3,2,9999,8,9999,9999
25,2.0,20,3,4,Jaccard,3,2,21,6,22,9999
25,2.0,20,3,12,normal,3,1,9999,9999,9999,9999
25,2.0,20,3,12,Jaccard,3,1,9999,9999,9999,9999
25,2.0,20,3,25,normal,5,9999,9999,9999,14,9999
25,2.0,20,3,25,Jaccard,5,9999,9999,9999,12,9999
25,2.0,20,5,4,normal,3,2,8,11,9999,9999
25,2.0,20,5,4,Jaccard,3,2,6,8,9999,9999
25,2.0,20,5,12,normal,2,9999,9999,9999,9999,9999
25,2.0,20,5,12,Jaccard,2,9999,9999,9999,9999,9999
25,2.0,20,5,25,normal,3,9999,9999,9999,13,9999
25,2.0,20,5,25,Jaccard,3,9999,9999,9999,11,9999
25,10.0,4,1,4,normal,5,2,9999,9999,8,9999
25,10.0,4,1,4,Jaccard,4,2,9999,9999,6,9999
25,10.0,4,1,12,normal,9999,1,9999,9999,2,11
25,10.0,4,1,12,Jaccard,9999,1,9999,9999,2,8
25,10.0,4,1,25,normal,9999,10,9999,9999,0,4
25,10.0,4,1,25,Jaccard,9999,7,9999,9999,0,3
25,10.0,4,3,4,normal,5,1,9999,9999,10,9999
25,10.0,4,3,4,Jaccard,4,1,9999,9999,8,9999
25,10.0,4,3,12,normal,9999,4,9999,9999,1,12
25,10.0,4,3,12,Jaccard,22,3,9999,9999,1,9
25,10.0,4,3,25,normal,9999,11,9999,9999,2,6
25,10.0,4,3,25,Jaccard,9999,8,9999,9999,1,4
25,10.0,4,5,4,normal,5,2,6,14,9999,9999
25,10.0,4,5,4,Jaccard,4,2,5,11,9999,9999
25,10.0,4,5,12,normal,9999,4,9999,9999,3,9999
25,10.0,4,5,12,Jaccard,9999,3,9999,9999,2,9999
25,10.0,4,5,25,normal,9999,11,9999,9999,2,10
